title,description,streetaddress,type,amenityfeatures,city,state,Year,notes,full.address,lat,lon,geoAddress,unclear_address,status,unique.id
Allegro ,,1412 Spruce ,Bars/Clubs,"(YC-1969-2005),(D-1965-2003),(*-1965-2005)",Philadelphia,PA,1973,NA,NA,39.9470756,-75.1655226,NA,NA,Google Verified Location,d-1973-01478
Attic ,,5710 Germantown,Bars/Clubs,,Philadelphia,PA,1973,NA,NA,40.036025,-75.175433,NA,NA,Google Verified Location,d-1973-01481
Baron's Variety Lounge ,,1116 Walnut ,Bars/Clubs,(M-1965-1989),Philadelphia,PA,1973,NA,NA,39.9485658,-75.1598508,NA,NA,Google Verified Location,d-1973-01482
Bellevue Health Sauna Baths ,,100 S. Juniper ,Baths,,Philadelphia,PA,1973,NA,NA,39.9501916,-75.162894,NA,NA,Google Verified Location,d-1973-01483
C.R. Club ,,6400 Market ,Bars/Clubs,(D-1965-2003),Philadelphia,PA,1973,NA,NA,39.9627185,-75.2497628,NA,NA,Google Verified Location,d-1973-01484
Carey's,(some G),23rd & Fairmount,Restaurant,"(R-1965-1989),(G-1965-1979)",Philadelphia,PA,1973,,NA,39.967345,-75.17539,NA,NA,Verified Location,d-1973-01485
Club Thirteen ,,214 S. 13th St. ,Bars/Clubs,(RT-1965-1989),Philadelphia,PA,1973,NA,NA,39.9479268,-75.1623653,NA,NA,Google Verified Location,d-1973-01489
Comeback ,,1308 Drury Lane ,Restaurant,"(R-1965-1989),(D-1965-2003),(*-1965-2005)",Philadelphia,PA,1973,NA,NA,39.9501811,-75.1624675,NA,NA,Google Verified Location,d-1973-01490
Dewey's Coffee Shop,(after hours),13th & Chancellor,Restaurant,"(M-1965-1989),(C-1965-1989),(R-1965-1989)",Philadelphia,PA,1973,,NA,39.948507,-75.162242,NA,NA,Verified Location,d-1973-01495
Dewey's Coffee Shop,(after hours),17th & Chancellor,Restaurant,"(M-1965-1989),(C-1965-1989),(R-1965-1989)",Philadelphia,PA,1973,,NA,39.94942,-75.169198,NA,NA,Verified Location,d-1973-01496
Drury Lane ,,1304 Drury Lane ,"Restaurant,Bars/Clubs","(R-1965-1989),(*-1965-2005)",Philadelphia,PA,1973,NA,NA,39.9501521,-75.1623615,NA,NA,Google Verified Location,d-1973-01498
Forrest Bar ,(Thr-Fri-Sat),206 S. Quince ,Bars/Clubs,(S-1965-2002),Philadelphia,PA,1973,NA,NA,39.9483647,-75.1599648,NA,NA,Google Verified Location,d-1973-01500
Foster House ,(some G) ,207 S. Quince ,Restaurant,"(R-1965-1989),(G-1965-1979),(HIP-1973-1983),(D-1965-2003),(*-1965-2005)",Philadelphia,PA,1973,NA,NA,39.9483637,-75.1598434,NA,NA,Google Verified Location,d-1973-01501
Frank's ,,347 S. 13th ,Bars/Clubs,"(M-1965-1989),(HIP-1973-1983)",Philadelphia,PA,1973,NA,NA,39.9453923,-75.1627698,NA,NA,Google Verified Location,d-1973-01503
Indian Queen ,(open Sundays) (Sheraton hotel),1725 J. F. Kennedy Blvd. ,"Bars/Clubs,Hotel","(M-1965-1989),(PE-1965-1989),(*-1965-2005)",Philadelphia,PA,1973,NA,NA,39.9544423,-75.1688226,NA,NA,Google Verified Location,d-1973-01515
Jay's Place Book Store ,,1344 Spruce St. ,Book Store,,Philadelphia,PA,1973,NA,NA,39.9468539,-75.1643134,NA,NA,Google Verified Location,d-1973-01516
Maxines ,"(nr. Locust, bet. 12th & 13th)",243 Camac,Restaurant,"(PE-1965-1989),(R-1965-1989),(*-1965-2005)",Philadelphia,PA,1973,NA,NA,39.9472463,-75.1615494,NA,NA,Google Verified Location,d-1973-01520
Midway,,256 S. 12th St. ,Restaurant,"(R-1965-1989),(*-1965-2005)",Philadelphia,PA,1973,NA,NA,39.947025,-75.1612074,NA,NA,Google Verified Location,d-1973-01522
Miss P's ,(use combination 43 for admittance ,418 S. 18th St. ,Bars/Clubs,,Philadelphia,PA,1973,NA,NA,39.9456929,-75.1717317,NA,NA,Google Verified Location,d-1973-01523
P.B.L. Club ,(after hours),204 S. Quince ,Bars/Clubs,"(*-1965-2005),(P-1965-1989),(YC-1969-2005),(D-1965-2003)",Philadelphia,PA,1973,NA,NA,39.9483481,-75.1599876,NA,NA,Google Verified Location,d-1973-01526
Parker Hotel Bar,(open Sundays),13th & Spruce,Bars/Clubs,(*-1965-2005),Philadelphia,PA,1973,,NA,39.946717,-75.162627,NA,NA,Verified Location,d-1973-01527
Parson's Table ,,26 S. Front St. ,Restaurant,"(M-1965-1989),(R-1965-1989)",Philadelphia,PA,1973,NA,NA,39.9488268,-75.1426836,NA,NA,Google Verified Location,d-1973-01528
Penrose Club ,(some SM) (weekends- after hours) ,1415 Locust,Bars/Clubs,"(P-1965-1989),(D-1965-2003),(SM-1965-1989)",Philadelphia,PA,1973,NA,NA,39.9484535,-75.1658053,NA,NA,Google Verified Location,d-1973-01529
Pirate's Den,,210 S. Camac ,Bars/Clubs,(M-1965-1989),Philadelphia,PA,1973,NA,NA,39.9482314,-75.1617217,NA,NA,Google Verified Location,d-1973-01530
R.D. Club,13th & Locust,13th & Locust,Bars/Clubs,(RT-1965-1989),Philadelphia,PA,1973,,NA,39.948131,-75.162088,NA,NA,Verified Location,d-1973-01532
Rittenhouse Square,,,Cruising Areas,"(HIP-1973-1983),Cruisy Area",Philadelphia,PA,1973,,NA,39.949466,-75.171864,NA,NA,Verified Location,d-1973-01533
Ritz Bar,,13th near Market,Bars/Clubs,"(B-1970-1989),(*-1965-2005)",Philadelphia,PA,1973,,NA,39.952111,-75.161455,NA,NA,Verified Location,d-1973-01534
Rusty's,(above Baron's),Quince & Walnut,Bars/Clubs,(G-1965-1979),Philadelphia,PA,1973,,NA,39.948794,-75.15974,NA,NA,Verified Location,d-1973-01536
Spruce St. from 11th to 21st,,,Cruising Areas,Cruisy Area,Philadelphia,PA,1973,,NA,39.948074,-75.172791,NA,NA,Verified Location,d-1973-01542
The Steps,(two floors),1526 Delaney ,Restaurant,"(R-1965-1989),(*-1965-2005)",Philadelphia,PA,1973,NA,NA,39.9525839,-75.1652215,NA,NA,Google Verified Location,d-1973-01544
Track Seven,,1226 Filbert ,Bars/Clubs,"(M-1965-1989),(RT-1965-1989)",Philadelphia,PA,1973,NA,NA,39.9530175,-75.1602121,NA,NA,Google Verified Location,d-1973-01545
Two-Forty-Seven ,,247 17th St. ,Bars/Clubs,"(W-1972-1989),(SM-1965-1989),(*-1965-2005)",Philadelphia,PA,1973,NA,NA,39.9484223,-75.1692901,NA,NA,Google Verified Location,d-1973-01547
V.I.P. Club,(Norristown),,Bars/Clubs,,Philadelphia,PA,1973,,NA,40.121497,-75.339905,NA,NA,Location could not be verified. General city or location coordinates used.,d-1973-01548
Westbury Hotel Bar ,,217 S. 15th St. ,Bars/Clubs,"(HIP-1973-1983),(*-1965-2005)",Philadelphia,PA,1973,NA,NA,39.9487798,-75.165921,NA,NA,Google Verified Location,d-1973-01551
Allegro ,,1412 Spruce ,Bars/Clubs,"(YC-1969-2005),(HIP),(*-1965-2005)",Philadelphia,PA,1972,NA,NA,39.9470756,-75.1655226,NA,NA,Google Verified Location,d-1972-01193
Attic ,,5710 Germantown ,Bars/Clubs,,Philadelphia,PA,1972,NA,NA,40.036025,-75.175433,NA,NA,Google Verified Location,d-1972-01196
Bellevue Health Sauna Baths ,,100 S. Juniper ,Baths,,Philadelphia,PA,1972,NA,NA,39.9501916,-75.162894,NA,NA,Google Verified Location,d-1972-01197
Club Thirteen ,,214 S. 13th St. ,Bars/Clubs,(RT-1965-1989),Philadelphia,PA,1972,NA,NA,39.9479268,-75.1623653,NA,NA,Google Verified Location,d-1972-01200
Dewey's Coffee Shop,(After hours),13th & Chancellor,Restaurant,"(R-1965-1989),(C-1965-1989),(M-1965-1989)",Philadelphia,PA,1972,,NA,39.948507,-75.162242,NA,NA,Verified Location,d-1972-01202
Dewey's Coffee Shop,(After hours),17th & Chancelor,Restaurant,"(R-1965-1989),(C-1965-1989),(M-1965-1989)",Philadelphia,PA,1972,,NA,39.94942,-75.169198,NA,NA,Verified Location,d-1972-01203
Drury Lane ,"(off 13th, bet. 12th & 13th) ",1304 Drury Lane ,"Restaurant,Bars/Clubs","(R-1965-1989),(*-1965-2005)",Philadelphia,PA,1972,NA,NA,39.9501521,-75.1623615,NA,NA,Google Verified Location,d-1972-01205
Forrest Bar ,,206 S. Quince ,Bars/Clubs,(S-1965-2002),Philadelphia,PA,1972,NA,NA,39.9483647,-75.1599648,NA,NA,Google Verified Location,d-1972-01207
Indian Queen ,(open Sundays) Sheraton Hotel ,1725 J. F. Kennedy Blvd. ,"Bars/Clubs,Hotel","(M-1965-1989),(PE-1965-1989),(*-1965-2005)",Philadelphia,PA,1972,NA,NA,39.9544423,-75.1688226,NA,NA,Google Verified Location,d-1972-01215
Maxine's ,"(near Locust, bet 12th & 13th)",243 Camac,Restaurant,"(PE-1965-1989),(R-1965-1989),(*-1965-2005)",Philadelphia,PA,1972,NA,NA,39.9472463,-75.1615494,NA,NA,Google Verified Location,d-1972-01219
Midway ,,256 S. 12th St. ,Bars/Clubs,(*-1965-2005),Philadelphia,PA,1972,NA,NA,39.947025,-75.1612074,NA,NA,Google Verified Location,d-1972-01221
Mystique ,(restaurant upstairs) ,1418 Spruce ,Bars/Clubs,"(YC-1969-2005),(HIP)",Philadelphia,PA,1972,NA,NA,39.9470823,-75.1655764,NA,NA,Google Verified Location,d-1972-01223
P.B.L Club ,,204 S. Quince ,Bars/Clubs,"(YC-1969-2005),(D-1965-2003),(P-1965-1989),(*-1965-2005)",Philadelphia,PA,1972,NA,NA,39.9483481,-75.1599876,NA,NA,Google Verified Location,d-1972-01224
Parker Hotel Bar,(open Sundays),13th & Spruce,Bars/Clubs,(*-1965-2005),Philadelphia,PA,1972,,NA,39.946717,-75.162627,NA,NA,Verified Location,d-1972-01226
Parson's Table ,,26 S. Front St. ,Restaurant,"(R-1965-1989),(M-1965-1989)",Philadelphia,PA,1972,NA,NA,39.9488268,-75.1426836,NA,NA,Google Verified Location,d-1972-01227
Penrose Club ,,1415 Locust ,Bars/Clubs,"(YC-1969-2005),(D-1965-2003),(P-1965-1989),(*-1965-2005)",Philadelphia,PA,1972,NA,NA,39.9484535,-75.1658053,NA,NA,Google Verified Location,d-1972-01228
