title,president,date,url,text_length
Inaugural Address,Donald J. Trump (2nd Term),"January 20, 2025",https://www.presidency.ucsb.edu/documents/inaugural-address-54,16968
Inaugural Address,"Joseph R. Biden, Jr.","January 20, 2021",https://www.presidency.ucsb.edu/documents/inaugural-address-53,13929
Inaugural Address,Donald J. Trump (1st Term),"January 20, 2017",https://www.presidency.ucsb.edu/documents/inaugural-address-14,8439
Inaugural Address,Barack Obama,"January 21, 2013",https://www.presidency.ucsb.edu/documents/inaugural-address-15,11922
Inaugural Address,Barack Obama,"January 20, 2009",https://www.presidency.ucsb.edu/documents/inaugural-address-5,13361
Inaugural Address,George W. Bush,"January 20, 2005",https://www.presidency.ucsb.edu/documents/inaugural-address-13,11919
Inaugural Address,George W. Bush,"January 20, 2001",https://www.presidency.ucsb.edu/documents/inaugural-address-52,9040
Inaugural Address,William J. Clinton,"January 20, 1997",https://www.presidency.ucsb.edu/documents/inaugural-address-12,12178
Inaugural Address,William J. Clinton,"January 20, 1993",https://www.presidency.ucsb.edu/documents/inaugural-address-51,9080
Inaugural Address,George Bush,"January 20, 1989",https://www.presidency.ucsb.edu/documents/inaugural-address,12511
Inaugural Address,Ronald Reagan,"January 21, 1985",https://www.presidency.ucsb.edu/documents/inaugural-address-10,14618
Inaugural Address,Ronald Reagan,"January 20, 1981",https://www.presidency.ucsb.edu/documents/inaugural-address-11,13735
Inaugural Address,Jimmy Carter,"January 20, 1977",https://www.presidency.ucsb.edu/documents/inaugural-address-0,6878
Oath of Office and Second Inaugural Address.,Richard Nixon,"January 20, 1973",https://www.presidency.ucsb.edu/documents/oath-office-and-second-inaugural-address,10173
Inaugural Address,Richard Nixon,"January 20, 1969",https://www.presidency.ucsb.edu/documents/inaugural-address-1,11576
The President's Inaugural Address,Lyndon B. Johnson,"January 20, 1965",https://www.presidency.ucsb.edu/documents/the-presidents-inaugural-address,8214
Inaugural Address,John F. Kennedy,"January 20, 1961",https://www.presidency.ucsb.edu/documents/inaugural-address-2,7568
Second Inaugural Address,Dwight D. Eisenhower,"January 21, 1957",https://www.presidency.ucsb.edu/documents/second-inaugural-address,9136
Inaugural Address,Dwight D. Eisenhower,"January 20, 1953",https://www.presidency.ucsb.edu/documents/inaugural-address-3,13948
Inaugural Address.,Harry S Truman,"January 20, 1949",https://www.presidency.ucsb.edu/documents/inaugural-address-4,13697
