title1,title2,address1,address2,semantic_similarity
Penrose Club ,The Penrose Club ,1415 Locust,1415 Locust ,0.97792345
Penrose Club ,The Penrose Club ,1415 Locust ,1415 Locust ,0.9779234
Penrose Club ,The Penrose Club ,1415 Locust ,1415 Locust ,0.9779234
Westbury Hotel Bar ,Westbury Hotel ,217 S. 15th St. ,271 S 15th St. ,0.903397
Westbury Hotel Bar ,Westbury Hotel ,271 S. 15th St. ,271 S 15th St. ,0.903397
Westbury Hotel Bar ,Westbury Hotel ,271 S. 15th St. ,271 S 15th St. ,0.903397
Dewey's Coffee Shop,Dewey's,13th & Chancellor,17th & Chancellor,0.75378644
Dewey's Coffee Shop,Deweys,13th & Chancellor,Chancelor at 17th St.,0.75378644
Dewey's Coffee Shop,Dewey's,17th & Chancellor,17th & Chancellor,0.75378644
Dewey's Coffee Shop,Deweys,17th & Chancellor,Chancelor at 17th St.,0.75378644
Dewey's Coffee Shop,Dewey's,13th & Chancellor,17th & Chancellor,0.75378644
Dewey's Coffee Shop,Deweys,13th & Chancellor,Chancelor at 17th St.,0.75378644
Dewey's Coffee Shop,Dewey's,17th & Chancelor,17th & Chancellor,0.75378644
Dewey's Coffee Shop,Deweys,17th & Chancelor,Chancelor at 17th St.,0.75378644
Rittenhouse Square,Spruce St. from Broad St. to area of Rittenhouse Square,,,0.72255814
C.R. Club ,R.D. Club,6400 Market ,13th & Locust,0.7090038
Club Thirteen ,Forty-Six Club ,214 S. 13th St. ,46 S 52nd St. ,0.67058045
Club Thirteen ,Forty-Six Club ,214 S. 13th St. ,46 S. 52nd St. ,0.67058045
Club Thirteen ,Forty-Six Club ,214 S. 13th St. ,46 S 52nd St. ,0.67058045
Club Thirteen ,Forty-Six Club ,214 S. 13th St. ,46 S. 52nd St. ,0.67058045
Club Thirteen ,Forty-Six Club ,214 S. 13th St. ,46 S 52nd St. ,0.6705804
Club Thirteen ,Forty-Six Club ,214 S. 13th St. ,46 S. 52nd St. ,0.6705804
Club Thirteen ,Forty-Six Club ,214 S. 13th St. ,46 S 52nd St. ,0.6705804
Club Thirteen ,Forty-Six Club ,214 S. 13th St. ,46 S. 52nd St. ,0.6705804
Parker Hotel Bar,Westbury Hotel Bar ,13th & Spruce,271 S. 15th St. ,0.6628704
Westbury Hotel Bar ,Parker Hotel Bar,217 S. 15th St. ,13th & Spruce,0.6628704
Parker Hotel Bar,Westbury Hotel Bar ,13th & Spruce,271 S. 15th St. ,0.6628704
Parker Hotel Bar,Westbury Hotel Bar ,13th & Spruce,271 S. 15th St. ,0.6628704
Parker Hotel Bar,Westbury Hotel Bar ,13th & Spruce,217 S. 15th St. ,0.6628702
Parker Hotel Bar,Westbury Hotel Bar ,13th & Spruce,271 S. 15th St. ,0.6628702
R.D. Club,Penrose Club ,13th & Locust,1415 Locust ,0.6625595
R.D. Club,Penrose Club ,13th & Locust,1415 Locust ,0.66255945
Penrose Club ,R.D. Club,1415 Locust,13th & Locust,0.6625594
R.D. Club,The Penrose Club ,13th & Locust,1415 Locust ,0.6528554
Spruce St. from 11th to 21st,Spruce St. from Broad St. to area of Rittenhouse Square,,,0.6384781
Forrest Bar ,Teddy's Bar ,206 S. Quince ,418 S. 18th St. ,0.6333583
Forrest Bar ,Teddy's bar,206 S. Quince ,Broad & Olney,0.6333583
Forrest Bar ,Teddy's Bar ,206 S. Quince ,418 S. 18th St. ,0.6333583
Forrest Bar ,Teddy's Bar ,206 S. Quince ,418 S. 18th St. ,0.6333583
Forrest Bar ,Teddy's bar,206 S. Quince ,Broad & Olney,0.6333583
Forrest Bar ,Teddy's Bar ,206 S. Quince ,418 S. 18th St. ,0.6333583
Teddy's Bar ,Forrest Bar ,418 S. 18th St. ,206 S. Quince ,0.6333583
Teddy's Bar ,Forrest Bar ,418 S. 18th St. ,206 S. Quince ,0.6333583
Forrest Bar ,Teddy's bar,206 S. Quince ,Broad & Olney,0.6333583
Forrest Bar ,Teddy's Bar ,206 S. Quince ,418 S. 18th St. ,0.6333583
Forrest Bar ,Teddy's bar,206 S. Quince ,Broad & Olney,0.6333583
Forrest Bar ,Teddy's Bar ,206 S. Quince ,418 S. 18th St. ,0.6333583
C.R. Club ,Penrose Club ,6400 Market ,1415 Locust,0.6106347
C.R. Club ,Penrose Club ,6400 Market ,1415 Locust ,0.6106347
C.R. Club ,Penrose Club ,6400 Market ,1415 Locust ,0.6106346
